ssid,floorid,roomid,channel_cap1,channel_cap2,channel_cap3,signal_strength_cap1,signal_strength_cap2,signal_strength_cap3
1,1,214,2457,2452,0,-80,-65,100
1,1,214,2457,2452,0,-80,-63,100
1,1,214,2457,2457,0,-80,-63,100
1,1,214,2457,2462,0,-80,-58,100
1,1,214,2462,2452,0,-82,-65,100
1,1,214,2462,2452,0,-82,-63,100
1,1,214,2462,2452,0,-78,-65,100
1,1,214,2462,2452,0,-78,-63,100
1,1,214,2462,2452,0,-75,-65,100
1,1,214,2462,2452,0,-75,-63,100
1,1,214,2462,2452,0,-74,-65,100
1,1,214,2462,2452,0,-74,-63,100
1,1,214,2462,2457,0,-82,-63,100
1,1,214,2462,2457,0,-78,-63,100
1,1,214,2462,2457,0,-75,-63,100
1,1,214,2462,2457,0,-74,-63,100
1,1,214,2462,2462,0,-82,-58,100
1,1,214,2462,2462,0,-78,-58,100
1,1,214,2462,2462,0,-75,-58,100
1,1,214,2462,2462,0,-74,-58,100
1,2,214,2457,2462,0,-80,-57,100
1,2,214,2457,2462,0,-80,-54,100
1,3,214,2457,2462,0,-80,-55,100
1,3,214,2457,2462,0,-80,-51,100
1,3,214,2457,2462,0,-79,-55,100
1,3,214,2457,2462,0,-79,-51,100
1,3,214,2462,2462,0,-84,-55,100
1,3,214,2462,2462,0,-84,-51,100
1,3,214,2462,2462,0,-83,-55,100
1,3,214,2462,2462,0,-83,-51,100
1,3,214,2462,2462,0,-77,-55,100
1,3,214,2462,2462,0,-77,-51,100
1,4,214,2462,2462,0,-86,-59,100
1,4,214,2462,2462,0,-86,-56,100
1,4,214,2462,2462,0,-83,-59,100
1,4,214,2462,2462,0,-83,-56,100
1,4,214,2462,2462,0,-82,-59,100
1,4,214,2462,2462,0,-82,-56,100
1,5,214,2457,2462,0,-76,-57,100
1,5,214,2462,2462,0,-91,-57,100
1,5,214,2462,2462,0,-83,-57,100
1,6,214,2457,2457,0,-72,-56,100
1,6,214,2457,2457,0,-72,-49,100
1,6,214,2457,2462,0,-72,-52,100
1,6,214,2462,2457,0,-78,-56,100
1,6,214,2462,2457,0,-78,-49,100
1,6,214,2462,2462,0,-78,-52,100
1,7,214,2462,2462,0,-90,-54,100
1,7,214,2462,2462,0,-90,-52,100
1,7,214,2462,2462,0,-90,-51,100
1,7,214,2462,2462,0,-90,-45,100
1,7,214,2462,2462,0,-87,-54,100
1,7,214,2462,2462,0,-87,-52,100
1,7,214,2462,2462,0,-87,-51,100
1,7,214,2462,2462,0,-87,-45,100
1,7,214,2462,2462,0,-83,-54,100
1,7,214,2462,2462,0,-83,-52,100
1,7,214,2462,2462,0,-83,-51,100
1,7,214,2462,2462,0,-83,-45,100
1,7,214,2462,2462,0,-80,-54,100
1,7,214,2462,2462,0,-80,-52,100
1,7,214,2462,2462,0,-80,-51,100
1,7,214,2462,2462,0,-80,-45,100
1,8,214,2462,2462,0,-84,-51,100
1,8,214,2462,2462,0,-84,-46,100
1,8,214,2462,2462,0,-81,-51,100
1,8,214,2462,2462,0,-81,-46,100
1,8,214,2462,2462,0,-79,-51,100
1,8,214,2462,2462,0,-79,-46,100
1,8,214,2462,2462,0,-74,-51,100
1,8,214,2462,2462,0,-74,-46,100
1,9,214,2462,2462,0,-79,-67,100
1,9,214,2462,2462,0,-79,-66,100
1,10,214,2462,0,0,-82,100,100
1,11,214,2452,2457,0,-78,-78,100
1,11,214,2452,2457,0,-78,-72,100
1,11,214,2452,2457,0,-78,-64,100
1,11,214,2452,2462,0,-78,-71,100
1,11,214,2452,2462,0,-78,-66,100
1,11,214,2452,2462,0,-78,-61,100
1,11,214,2452,2462,0,-78,-59,100
1,11,214,2457,2457,0,-75,-78,100
1,11,214,2457,2457,0,-75,-72,100
1,11,214,2457,2457,0,-75,-64,100
1,11,214,2457,2462,0,-75,-71,100
1,11,214,2457,2462,0,-75,-66,100
1,11,214,2457,2462,0,-75,-61,100
1,11,214,2457,2462,0,-75,-59,100
1,11,214,2462,2457,0,-86,-78,100
1,11,214,2462,2457,0,-86,-72,100
1,11,214,2462,2457,0,-86,-64,100
1,11,214,2462,2457,0,-78,-78,100
1,11,214,2462,2457,0,-78,-72,100
1,11,214,2462,2457,0,-78,-64,100
1,11,214,2462,2462,0,-86,-71,100
1,11,214,2462,2462,0,-86,-66,100
1,11,214,2462,2462,0,-86,-61,100
1,11,214,2462,2462,0,-86,-59,100
1,11,214,2462,2462,0,-78,-71,100
1,11,214,2462,2462,0,-78,-66,100
1,11,214,2462,2462,0,-78,-61,100
1,11,214,2462,2462,0,-78,-59,100
1,12,214,0,2462,0,100,-57,100
1,12,214,0,2462,0,100,-56,100
1,12,214,0,2462,0,100,-55,100
1,13,214,2462,2462,0,-86,-65,100
1,13,214,2462,2462,0,-86,-61,100
1,13,214,2462,2462,0,-83,-65,100
1,13,214,2462,2462,0,-83,-61,100
1,13,214,2462,2462,0,-75,-65,100
1,13,214,2462,2462,0,-75,-61,100
1,14,214,2462,2462,0,-82,-57,100
1,14,214,2462,2462,0,-82,-55,100
1,14,214,2462,2462,0,-82,-54,100
1,14,214,2462,2462,0,-82,-48,100
1,14,214,2462,2462,0,-81,-57,100
1,14,214,2462,2462,0,-81,-55,100
1,14,214,2462,2462,0,-81,-54,100
1,14,214,2462,2462,0,-81,-48,100
1,15,214,2457,2462,0,-75,-53,100
1,15,214,2457,2462,0,-75,-52,100
1,15,214,2457,2462,0,-72,-53,100
1,15,214,2457,2462,0,-72,-52,100
1,15,214,2462,2462,0,-81,-53,100
1,15,214,2462,2462,0,-81,-52,100
1,15,214,2462,2462,0,-80,-53,100
1,15,214,2462,2462,0,-80,-52,100
1,16,214,2457,2457,0,-75,-52,100
1,16,214,2457,2462,0,-75,-57,100
1,16,214,2457,2462,0,-75,-47,100
1,16,214,2462,2457,0,-82,-52,100
1,16,214,2462,2457,0,-81,-52,100
1,16,214,2462,2457,0,-76,-52,100
1,16,214,2462,2462,0,-82,-57,100
1,16,214,2462,2462,0,-82,-47,100
1,16,214,2462,2462,0,-81,-57,100
1,16,214,2462,2462,0,-81,-47,100
1,16,214,2462,2462,0,-76,-57,100
1,16,214,2462,2462,0,-76,-47,100
1,17,214,2462,2462,0,-80,-75,100
1,17,214,2462,2462,0,-80,-74,100
1,18,214,2462,2452,0,-81,-71,100
1,18,214,2462,2452,0,-79,-71,100
1,18,214,2462,2462,0,-81,-82,100
1,18,214,2462,2462,0,-81,-68,100
1,18,214,2462,2462,0,-81,-64,100
1,18,214,2462,2462,0,-79,-82,100
1,18,214,2462,2462,0,-79,-68,100
1,18,214,2462,2462,0,-79,-64,100
1,19,214,2462,2462,0,-90,-69,100
1,19,214,2462,2462,0,-90,-64,100
1,19,214,2462,2462,0,-90,-61,100
1,20,214,2462,2452,0,-71,-61,100
1,20,214,2462,2452,0,-71,-54,100
1,20,214,2462,2457,0,-71,-51,100
1,20,214,2462,2462,0,-71,-60,100
1,21,214,2462,2452,0,-77,-59,100
1,21,214,2462,2452,0,-76,-59,100
1,21,214,2462,2452,0,-74,-59,100
1,21,214,2462,2462,0,-77,-55,100
1,21,214,2462,2462,0,-77,-46,100
1,21,214,2462,2462,0,-76,-55,100
1,21,214,2462,2462,0,-76,-46,100
1,21,214,2462,2462,0,-74,-55,100
1,21,214,2462,2462,0,-74,-46,100
1,22,214,2462,2457,0,-77,-58,100
1,22,214,2462,2457,0,-73,-58,100
1,23,214,2457,2462,0,-78,-58,100
1,23,214,2457,2462,0,-78,-51,100
1,23,214,2462,2462,0,-96,-58,100
1,23,214,2462,2462,0,-96,-51,100
1,23,214,2462,2462,0,-85,-58,100
1,23,214,2462,2462,0,-85,-51,100
1,23,214,2462,2462,0,-84,-58,100
1,23,214,2462,2462,0,-84,-51,100
1,23,214,2462,2462,0,-83,-58,100
1,23,214,2462,2462,0,-83,-51,100
1,24,214,2457,2457,0,-77,-61,100
1,24,214,2457,2462,0,-77,-58,100
1,24,214,2457,2462,0,-77,-54,100
1,24,214,2462,2457,0,-84,-61,100
1,24,214,2462,2457,0,-83,-61,100
1,24,214,2462,2457,0,-77,-61,100
1,24,214,2462,2462,0,-84,-58,100
1,24,214,2462,2462,0,-84,-54,100
1,24,214,2462,2462,0,-83,-58,100
1,24,214,2462,2462,0,-83,-54,100
1,24,214,2462,2462,0,-77,-58,100
1,24,214,2462,2462,0,-77,-54,100
1,25,214,2462,2462,0,-88,-54,100
1,25,214,2462,2462,0,-88,-47,100
1,25,214,2462,2462,0,-86,-54,100
1,25,214,2462,2462,0,-86,-47,100
1,25,214,2462,2462,0,-85,-54,100
1,25,214,2462,2462,0,-85,-47,100
1,25,214,2462,2462,0,-78,-54,100
1,25,214,2462,2462,0,-78,-47,100
1,25,214,2462,2462,0,-77,-54,100
1,25,214,2462,2462,0,-77,-47,100
1,26,214,2462,2457,0,-86,-71,100
1,26,214,2462,2457,0,-86,-67,100
1,26,214,2462,2457,0,-75,-71,100
1,26,214,2462,2457,0,-75,-67,100
1,26,214,2462,2457,0,-73,-71,100
1,26,214,2462,2457,0,-73,-67,100
1,26,214,2462,2462,0,-86,-70,100
1,26,214,2462,2462,0,-86,-67,100
1,26,214,2462,2462,0,-86,-65,100
1,26,214,2462,2462,0,-75,-70,100
1,26,214,2462,2462,0,-75,-67,100
1,26,214,2462,2462,0,-75,-65,100
1,26,214,2462,2462,0,-73,-70,100
1,26,214,2462,2462,0,-73,-67,100
1,26,214,2462,2462,0,-73,-65,100
1,27,214,2462,2462,0,-77,-60,100
1,27,214,2462,2462,0,-77,-59,100
1,27,214,2462,2462,0,-76,-60,100
1,27,214,2462,2462,0,-76,-59,100
1,28,214,2462,2457,0,-77,-62,100
1,28,214,2462,2462,0,-77,-63,100
1,29,214,0,2462,0,100,-56,100
1,29,214,0,2462,0,100,-51,100
1,30,214,2462,2457,0,-75,-55,100
1,30,214,2462,2462,0,-75,-53,100
1,31,214,2462,2457,0,-85,-48,100
1,31,214,2462,2457,0,-77,-48,100
1,31,214,2462,2462,0,-85,-53,100
1,31,214,2462,2462,0,-77,-53,100
1,32,214,2457,2452,0,-82,-65,100
1,32,214,2462,2452,0,-84,-65,100
1,32,214,2462,2452,0,-79,-65,100
1,32,214,2462,2452,0,-75,-65,100
1,33,214,2457,2452,0,-77,-54,100
1,33,214,2457,2457,0,-77,-63,100
1,34,214,2457,2462,0,-73,-44,100
1,34,214,2462,2462,0,-77,-44,100
1,34,214,2462,2462,0,-75,-44,100
1,35,214,2462,2452,0,-84,-67,100
1,35,214,2462,2452,0,-84,-65,100
1,35,214,2462,2452,0,-79,-67,100
1,35,214,2462,2452,0,-79,-65,100
1,35,214,2462,2452,0,-77,-67,100
1,35,214,2462,2452,0,-77,-65,100
1,35,214,2462,2457,0,-84,-59,100
1,35,214,2462,2457,0,-79,-59,100
1,35,214,2462,2457,0,-77,-59,100
1,35,214,2462,2462,0,-84,-61,100
1,35,214,2462,2462,0,-79,-61,100
1,35,214,2462,2462,0,-77,-61,100
1,36,214,2462,2457,0,-84,-52,100
1,36,214,2462,2457,0,-80,-52,100
1,36,214,2462,2457,0,-73,-52,100
1,36,214,2462,2457,0,-70,-52,100
1,36,214,2462,2462,0,-84,-53,100
1,36,214,2462,2462,0,-84,-52,100
1,36,214,2462,2462,0,-84,-50,100
1,36,214,2462,2462,0,-80,-53,100
1,36,214,2462,2462,0,-80,-52,100
1,36,214,2462,2462,0,-80,-50,100
1,36,214,2462,2462,0,-73,-53,100
1,36,214,2462,2462,0,-73,-52,100
1,36,214,2462,2462,0,-73,-50,100
1,36,214,2462,2462,0,-70,-53,100
1,36,214,2462,2462,0,-70,-52,100
1,36,214,2462,2462,0,-70,-50,100
1,37,214,2462,2462,0,-78,-63,100
1,37,214,2462,2462,0,-78,-60,100
1,37,214,2462,2462,0,-78,-56,100
1,38,214,2462,2462,0,-76,-49,100
1,38,214,2462,2462,0,-76,-48,100
1,39,214,2462,2462,0,-80,-46,100
1,40,214,2462,2462,0,-82,-54,100
1,40,214,2462,2462,0,-82,-51,100
1,40,214,2462,2462,0,-82,-49,100
1,40,214,2462,2462,0,-81,-54,100
1,40,214,2462,2462,0,-81,-51,100
1,40,214,2462,2462,0,-81,-49,100
1,41,214,2452,2457,0,-80,-64,100
1,41,214,2452,2457,0,-80,-57,100
1,41,214,2457,2457,0,-85,-64,100
1,41,214,2457,2457,0,-85,-57,100
1,41,214,2462,2457,0,-87,-64,100
1,41,214,2462,2457,0,-87,-57,100
1,41,214,2462,2457,0,-83,-64,100
1,41,214,2462,2457,0,-83,-57,100
1,41,214,2462,2457,0,-78,-64,100
1,41,214,2462,2457,0,-78,-57,100
1,42,214,2462,2462,0,-80,-53,100
1,42,214,2462,2462,0,-78,-53,100
1,42,214,2462,2462,0,-77,-53,100
1,42,214,2462,2462,0,-76,-53,100
1,43,214,2457,2462,0,-85,-57,100
1,43,214,2457,2462,0,-85,-52,100
1,43,214,2457,2462,0,-85,-51,100
1,43,214,2462,2462,0,-84,-57,100
1,43,214,2462,2462,0,-84,-52,100
1,43,214,2462,2462,0,-84,-51,100
1,43,214,2462,2462,0,-81,-57,100
1,43,214,2462,2462,0,-81,-52,100
1,43,214,2462,2462,0,-81,-51,100
1,44,214,2462,2462,0,-86,-68,100
1,44,214,2462,2462,0,-86,-64,100
1,44,214,2462,2462,0,-86,-63,100
1,44,214,2462,2462,0,-86,-62,100
1,44,214,2462,2462,0,-76,-68,100
1,44,214,2462,2462,0,-76,-64,100
1,44,214,2462,2462,0,-76,-63,100
1,44,214,2462,2462,0,-76,-62,100
1,44,214,2462,2462,0,-75,-68,100
1,44,214,2462,2462,0,-75,-64,100
1,44,214,2462,2462,0,-75,-63,100
1,44,214,2462,2462,0,-75,-62,100
1,45,214,2462,2457,0,-82,-62,100
1,45,214,2462,2457,0,-76,-62,100
1,45,214,2462,2457,0,-73,-62,100
1,45,214,2462,2462,0,-82,-64,100
1,45,214,2462,2462,0,-82,-61,100
1,45,214,2462,2462,0,-82,-55,100
1,45,214,2462,2462,0,-76,-64,100
1,45,214,2462,2462,0,-76,-61,100
1,45,214,2462,2462,0,-76,-55,100
1,45,214,2462,2462,0,-73,-64,100
1,45,214,2462,2462,0,-73,-61,100
1,45,214,2462,2462,0,-73,-55,100
1,46,214,2462,2457,0,-81,-69,100
1,46,214,2462,2457,0,-81,-62,100
1,46,214,2462,2457,0,-76,-69,100
1,46,214,2462,2457,0,-76,-62,100
1,47,214,2462,2457,0,-79,-60,100
1,47,214,2462,2457,0,-79,-59,100
1,47,214,2462,2457,0,-77,-60,100
1,47,214,2462,2457,0,-77,-59,100
1,47,214,2462,2457,0,-75,-60,100
1,47,214,2462,2457,0,-75,-59,100
1,48,214,2462,2462,0,-87,-64,100
1,48,214,2462,2462,0,-87,-60,100
1,48,214,2462,2462,0,-87,-54,100
1,48,214,2462,2462,0,-83,-64,100
1,48,214,2462,2462,0,-83,-60,100
1,48,214,2462,2462,0,-83,-54,100
1,48,214,2462,2462,0,-77,-64,100
1,48,214,2462,2462,0,-77,-60,100
1,48,214,2462,2462,0,-77,-54,100
1,48,214,2462,2462,0,-75,-64,100
1,48,214,2462,2462,0,-75,-60,100
1,48,214,2462,2462,0,-75,-54,100
1,49,214,2462,2462,0,-79,-67,100
1,49,214,2462,2462,0,-79,-62,100
1,49,214,2462,2462,0,-76,-67,100
1,49,214,2462,2462,0,-76,-62,100
1,49,214,2462,2462,0,-75,-67,100
1,49,214,2462,2462,0,-75,-62,100
1,49,214,2462,2462,0,-73,-67,100
1,49,214,2462,2462,0,-73,-62,100
1,50,214,2452,2457,2462,-76,-57,-93
1,50,214,2452,2462,2462,-76,-63,-93
1,50,214,2452,2462,2462,-76,-59,-93
1,50,214,2452,2462,2462,-76,-58,-93
1,50,214,2452,2462,2462,-76,-54,-93
1,50,214,2452,2462,2462,-76,-46,-93
1,50,214,2457,2457,2462,-77,-57,-93
1,50,214,2457,2462,2462,-77,-63,-93
1,50,214,2457,2462,2462,-77,-59,-93
1,50,214,2457,2462,2462,-77,-58,-93
1,50,214,2457,2462,2462,-77,-54,-93
1,50,214,2457,2462,2462,-77,-46,-93
1,50,214,2462,2457,2462,-90,-57,-93
1,50,214,2462,2457,2462,-82,-57,-93
1,50,214,2462,2457,2462,-78,-57,-93
1,50,214,2462,2457,2462,-76,-57,-93
1,50,214,2462,2457,2462,-75,-57,-93
1,50,214,2462,2462,2462,-90,-63,-93
1,50,214,2462,2462,2462,-90,-59,-93
1,50,214,2462,2462,2462,-90,-58,-93
1,50,214,2462,2462,2462,-90,-54,-93
1,50,214,2462,2462,2462,-90,-46,-93
1,50,214,2462,2462,2462,-82,-63,-93
1,50,214,2462,2462,2462,-82,-59,-93
1,50,214,2462,2462,2462,-82,-58,-93
1,50,214,2462,2462,2462,-82,-54,-93
1,50,214,2462,2462,2462,-82,-46,-93
1,50,214,2462,2462,2462,-78,-63,-93
1,50,214,2462,2462,2462,-78,-59,-93
1,50,214,2462,2462,2462,-78,-58,-93
1,50,214,2462,2462,2462,-78,-54,-93
1,50,214,2462,2462,2462,-78,-46,-93
1,50,214,2462,2462,2462,-76,-63,-93
1,50,214,2462,2462,2462,-76,-59,-93
1,50,214,2462,2462,2462,-76,-58,-93
1,50,214,2462,2462,2462,-76,-54,-93
1,50,214,2462,2462,2462,-76,-46,-93
1,50,214,2462,2462,2462,-75,-63,-93
1,50,214,2462,2462,2462,-75,-59,-93
1,50,214,2462,2462,2462,-75,-58,-93
1,50,214,2462,2462,2462,-75,-54,-93
1,50,214,2462,2462,2462,-75,-46,-93
1,51,214,2457,2457,0,-74,-55,100
1,51,214,2457,2457,0,-74,-52,100
1,51,214,2457,2462,0,-74,-69,100
1,51,214,2457,2462,0,-74,-56,100
1,51,214,2462,2457,0,-83,-55,100
1,51,214,2462,2457,0,-83,-52,100
1,51,214,2462,2457,0,-74,-55,100
1,51,214,2462,2457,0,-74,-52,100
1,51,214,2462,2462,0,-83,-69,100
1,51,214,2462,2462,0,-83,-56,100
1,51,214,2462,2462,0,-74,-69,100
1,51,214,2462,2462,0,-74,-56,100
1,52,214,2462,2462,0,-91,-59,100
1,52,214,2462,2462,0,-91,-56,100
1,52,214,2462,2462,0,-89,-59,100
1,52,214,2462,2462,0,-89,-56,100
1,53,214,2457,2457,0,-71,-69,100
1,53,214,2457,2462,0,-71,-65,100
1,53,214,2462,2457,0,-82,-69,100
1,53,214,2462,2462,0,-82,-65,100
1,54,214,2457,2457,0,-68,-71,100
